Wind Farm,Winturbine,lat,long
Coursera Energy,WTG 1,48.44917748,-103.0763415
Coursera Energy,WTG 2,48.45608328,-103.0777171
Coursera Energy,WTG 3,48.46230957,-103.0659427
Coursera Energy,WTG 4,48.46283979,-103.0750134
Coursera Energy,WTG 5,48.46363305,-103.0426238
Coursera Energy,WTG 6,48.46977865,-103.041075
Coursera Energy,WTG 7,48.4699309,-103.0320853
Coursera Energy,WTG 8,48.442805,-103.1306863
Coursera Energy,WTG 9,48.44255116,-103.0982279
Coursera Energy,WTG 10,48.45605426,-103.1382343
Coursera Energy,WTG 11,48.45524735,-103.1064779
Coursera Energy,WTG 12,48.4697652,-103.1409798
Coursera Energy,WTG 13,48.46963632,-103.1291595
Coursera Energy,WTG 14,48.49330837,-103.0512681
Coursera Energy,WTG 15,48.49433205,-103.1213743
Coursera Energy,WTG 16,48.4978364,-103.1090342
Coursera Energy,WTG 17,48.50757532,-103.0978398
Coursera Energy,WTG 18,48.50629037,-103.0763194
Coursera Energy,WTG 19,48.50755358,-103.0856953
Coursera Energy,WTG 20,48.51219467,-103.1188452
Coursera Energy,WTG 21,48.51266527,-103.09444
Coursera Energy,WTG 22,48.52787554,-103.2187428
Coursera Energy,WTG 23,48.52761121,-103.2052205
Coursera Energy,WTG 24,48.52108346,-103.1854205
Coursera Energy,WTG 25,48.52634169,-103.1630191
Coursera Energy,WTG 26,48.52441993,-103.113259
Coursera Energy,WTG 27,48.52780588,-103.0987074
Coursera Energy,WTG 28,48.53506896,-103.1103163
Coursera Energy,WTG 29,48.54143511,-103.1309988
Coursera Energy,WTG 30,48.53716685,-103.1949387
Coursera Energy,WTG 31,48.53464444,-103.1804653
Coursera Energy,WTG 32,48.53719478,-103.1631954
Coursera Energy,WTG 33,48.52624803,-103.1825947
Coursera Energy,WTG 34,48.54428841,-103.1499852
Coursera Energy,WTG 35,48.54932288,-103.1308437
Coursera Energy,WTG 36,48.54975258,-103.1670229
Coursera Energy,WTG 37,48.5513744,-103.2036482
Coursera Energy,WTG 38,48.55098747,-103.184175
Coursera Energy,WTG 39,48.55510989,-103.1780373
Coursera Energy,WTG 40,48.55891806,-103.1663122
Coursera Energy,WTG 41,48.55759687,-103.2167235
Coursera Energy,WTG 42,48.56759108,-103.2027755
Coursera Energy,WTG 43,48.56673142,-103.1733497
Coursera Energy,WTG 44,48.56533599,-103.1535822
Coursera Energy,WTG 45,48.57871699,-103.193961
Coursera Energy,WTG 46,48.58288393,-103.1600076
Coursera Energy,WTG 47,48.58229993,-103.1522048
Coursera Energy,WTG 48,48.56908043,-103.140852
Coursera Energy,WTG 49,48.49884657,-103.0393998
Coursera Energy,WTG 50,48.5005532,-103.0308185
Coursera Energy,WTG 51,48.50067888,-103.0239904
Coursera Energy,WTG 52,48.434366,-103.1087144
Coursera Energy,WTG 53,48.43390409,-103.1189393
Coursera Energy,WTG 54,48.42888369,-103.1589244
Coursera Energy,WTG 55,48.43267977,-103.1527168
Coursera Energy,WTG 56,48.45169203,-103.1477802
